02:55 ~/study-linux [main]
$ vm_stat 1
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   12209   508081     4933   507377        0   174177    29037  204610K 11366895  104754K  3755778  1010530      351839    668552   666007   310651  1390864  2808184  4873788    31186       16       36
   12078   509267     4933   507377        0   172970    29917     1019        0      572        0        0      351839    669738   665995   310649       12        0        0        0        0        0
   12404   508399     4933   507376        0   173839    29379      898        0      235        0        0      351839    668869   665995   310649        0        0        0        0        0        0
   12361   509275     4933   507376        0   172947    29939      466        0      176        0        0      351839    669745   665995   310649        0        0        0        0        0        0
   12571   509748     4933   507373        0   172474    30222      876      118      241        0        1      351839    670215   665991   310649        4        0        1        0        0        0
   12186   510410     4933   507370        0   171816    30350     5224      799     1552        0        1      351839    670874   665991   310649        2        0      371        0        0        0
   32548   501992     4933   495340        0   172128    30081     6665      960     1403        0        0      351839    650426   665988   310646        3        0        2        0        0        0
   13485   502537     4188   501713        0   184607    21189    34171       20    22013        0        0      351840    656598   665987   310646        1        0        0        0        0        0
    8768   512995     4196   508732        0   171821    30355    12764        0    11495        0     1337      351848    674075   665982   310646        0        0        0        0        0        0
   12999   508104     4942   509063        0   171812    26801    26120        0    22662        0     2228      351848    670261   665982   310646        0        0        0        0        0        0
   11800   508778     4942   509048        0   171803    26805     5795      787     2179        0        0      351848    670920   665981   310646        3        0      370        0        0        0
   11204   509435     4942   509023        0   171803    26805      936        0      772        0        0      351848    671552   665981   310646        0        0        0        0        0        0
   10880   510071     4942   509002        0   171803    26805      881        0      726        0        0      351848    672167   665981   310646        0        0        0        0        0        0
   10267   510700     4942   508999        0   171800    26809      913        0      749        0        0      351848    672793   665981   310646        0        0        0        0        0        0
    9665   511352     4942   508999        0   171800    26809      999        0      798        0        0      351848    673445   665981   310646        0        0        0        0        0        0
    8973   511995     4942   508991        0   171800    26809     5773      772     2174        0        0      351848    674080   665981   310646        2        0      370        0        0        0
    9113   511999     4943   508989        0   171800    26809      278        0      114        0        0      351849    674082   665981   310646        0        0        0        0        0        0
   15444   505740     4938   508038        0   172253    26400     4698      757     1000      105        0      351831    666885   665979   310644        2        0       21        0        0        0
   15772   506222     4939   507913        0   171800    26388     1874      118     1041        0      120      351832    667242   665977   310643        2        0        1        0        0        0
   15799   506198     4938   507907        0   171827    26787      830        0      520        0        0      351831    667212   665976   310643        1        0        0        0        0        0
